id,solutionStartTime,solutionEndTime
WORKORDER_AWRB853396001_BEDFORD_EAGLENA,2019-04-15 07:46:00.000,2019-04-15 09:46:00.000
WORKORDER_AWRB864839001_BEDFORD_EAGLENA,2019-04-15 07:46:00.000,2019-04-15 11:46:00.000
WORKORDER_AWRB861067001_BEDFORD_EAGLENA,2019-04-15 07:49:00.000,2019-04-15 13:49:00.000
WORKORDER_AWRB853563001_BEDFORD_EAGLENA,2019-04-15 07:50:00.000,2019-04-15 14:50:00.000
WORKORDER_AWRB858355001_BEDFORD_EAGLENA,2019-04-15 07:50:00.000,2019-04-15 15:50:00.000
WORKORDER_AWRB858246001_BEDFORD_EAGLENA,2019-04-15 08:00:00.000,2019-04-15 10:00:00.000
WORKORDER_AWRB867189001_BEDFORD_EAGLENA,2019-04-15 08:00:00.000,2019-04-15 10:00:00.000
WORKORDER_AWRB859643001_BEDFORD_EAGLENA,2019-04-15 08:00:00.000,2019-04-15 11:00:00.000
WORKORDER_AWRB853046001_BEDFORD_EAGLENA,2019-04-15 08:00:00.000,2019-04-15 13:00:00.000
WORKORDER_AWRB858250001_BEDFORD_EAGLENA,2019-04-15 08:00:00.000,2019-04-15 13:00:00.000
WORKORDER_AWRB859772001_BEDFORD_EAGLENA,2019-04-15 08:00:00.000,2019-04-15 14:00:00.000
WORKORDER_AWRB872629001_BEDFORD_EAGLENA,2019-04-15 08:00:00.000,2019-04-15 14:00:00.000
WORKORDER_AWRB853373001_BEDFORD_EAGLENA,2019-04-15 08:00:00.000,2019-04-15 16:00:00.000
WORKORDER_AWRB858150001_BEDFORD_EAGLENA,2019-04-15 08:00:00.000,2019-04-15 16:00:00.000
WORKORDER_AWRB859770001_BEDFORD_EAGLENA,2019-04-15 08:00:00.000,2019-04-16 06:48:00.000
WORKORDER_AWRB856946001_BEDFORD_EAGLENA,2019-04-15 08:03:00.000,2019-04-15 13:03:00.000
WORKORDER_AWRB859910001_BEDFORD_EAGLENA,2019-04-15 08:03:00.000,2019-04-16 06:51:00.000
WORKORDER_AWRB864572001_BEDFORD_EAGLENA,2019-04-15 08:05:00.000,2019-04-16 06:53:00.000
WORKORDER_AWRB864378001_BEDFORD_EAGLENA,2019-04-15 08:09:00.000,2019-04-16 06:57:00.000
WORKORDER_AWRB864341001_BEDFORD_EAGLENA,2019-04-15 08:12:00.000,2019-04-15 13:12:00.000
WORKORDER_AWRB871409001_BEDFORD_EAGLENA,2019-04-15 08:14:00.000,2019-04-15 09:14:00.000
WORKORDER_AWRAV/0159_BEDFORD_EAGLENA,2019-04-15 08:18:00.000,2019-04-15 09:51:00.000
WORKORDER_AWRB869664001_BEDFORD_EAGLENA,2019-04-15 08:18:00.000,2019-04-15 12:18:00.000
WORKORDER_AWRB875428001_BEDFORD_EAGLENA,2019-04-15 08:24:00.000,2019-04-15 09:24:00.000
WORKORDER_AWRB867391001_BEDFORD_EAGLENA,2019-04-15 08:26:00.000,2019-04-15 15:26:00.000
WORKORDER_AWRAV/0160_BEDFORD_EAGLENA,2019-04-15 08:36:00.000,2019-04-15 10:12:00.000
WORKORDER_AWRB861071001_BEDFORD_EAGLENA,2019-04-15 08:36:00.000,2019-04-15 10:36:00.000
WORKORDER_AWRB875371001_BEDFORD_EAGLENA,2019-04-15 08:36:00.000,2019-04-16 07:24:00.000
WORKORDER_AWRB859737001_BEDFORD_EAGLENA,2019-04-15 08:39:00.000,2019-04-15 11:39:00.000
WORKORDER_AWRB867388001_BEDFORD_EAGLENA,2019-04-15 08:52:00.000,2019-04-15 14:52:00.000
WORKORDER_AWRB868192001_BEDFORD_EAGLENA,2019-04-15 08:56:00.000,2019-04-15 13:56:00.000
WORKORDER_AWRB867024001_BEDFORD_EAGLENA,2019-04-15 09:00:00.000,2019-04-15 10:00:00.000
WORKORDER_AWRB869553001_BEDFORD_EAGLENA,2019-04-15 09:00:00.000,2019-04-15 10:00:00.000
WORKORDER_AWRB866538001_BEDFORD_EAGLENA,2019-04-15 09:00:00.000,2019-04-15 12:00:00.000
WORKORDER_AWRB868063001_BEDFORD_EAGLENA,2019-04-15 09:00:00.000,2019-04-15 13:00:00.000
WORKORDER_AWRB851921001_BEDFORD_EAGLENA,2019-04-15 09:00:00.000,2019-04-15 15:00:00.000
